date,value,numberOfEntries
"2019-06-03 06:50:00",0.0132427,403
"2019-06-03 06:55:00",0.0153608,143
"2019-06-03 07:00:00",0.0148385,472
"2019-06-03 07:05:00",0.014058,275
"2019-06-03 07:10:00",0.0150136,154
"2019-06-03 07:15:00",0.0133184,511
"2019-06-03 07:20:00",0.0574385,889
"2019-06-03 07:25:00",0.0135246,396
"2019-06-03 07:30:00",0.375146,857
"2019-06-03 07:35:00",0.0146459,220
"2019-06-03 07:40:00",0.420383,667
"2019-06-03 07:45:00",0.0230138,328
"2019-06-03 07:50:00",1.1511,532
"2019-06-03 07:55:00",0.663242,313
"2019-06-03 08:00:00",0.709307,1122
"2019-06-03 08:05:00",0.308714,3221
"2019-06-03 08:10:00",0.0643363,3271
"2019-06-03 08:15:00",1.09145,3612
"2019-06-03 08:20:00",5.13502,1174
"2019-06-03 08:25:00",6.66349,1087
"2019-06-03 08:30:00",0.794669,1249
"2019-06-03 08:35:00",0.0159531,1274
"2019-06-03 08:40:00",0.0150781,2875
"2019-06-03 08:45:00",0.0167187,2300
"2019-06-03 08:50:00",0.0167802,2325
"2019-06-03 08:55:00",0.0152928,2344
"2019-06-03 09:00:00",0.017829,2344
"2019-06-03 09:05:00",0.0182677,2371
"2019-06-03 09:10:00",0.0168743,2375
"2019-06-03 09:15:00",0.018862,2343
"2019-06-03 09:20:00",0.0175411,2389
"2019-06-03 09:25:00",0.0169834,2405
"2019-06-03 09:30:00",0.179961,2452
"2019-06-03 09:35:00",0.27352,3029
"2019-06-03 09:40:00",0.0177261,2942
"2019-06-03 09:45:00",0.0165148,2725
"2019-06-03 09:50:00",0.308623,3371
"2019-06-03 09:55:00",2.75087,1417
"2019-06-03 10:00:00",2.2872,1022
"2019-06-03 10:05:00",4.47467,1757
"2019-06-03 10:10:00",0.0161113,1301
"2019-06-03 10:15:00",0.0530914,1438
"2019-06-03 10:20:00",0.0165675,601
"2019-06-03 10:25:00",0.0181855,990
"2019-06-03 10:30:00",0.0176937,954
"2019-06-03 10:35:00",0.0116275,1128
"2019-06-03 10:40:00",0.0281304,741
"2019-06-03 10:45:00",0.014188,1658
"2019-06-03 10:50:00",0.0153924,1274
"2019-06-03 10:55:00",0.0180585,894
"2019-06-03 11:00:00",0.0174056,698
"2019-06-03 11:05:00",0.0183536,727
"2019-06-03 11:10:00",0.0196595,893
"2019-06-03 11:15:00",0.0129183,914
"2019-06-03 11:20:00",0.0149664,850
"2019-06-03 11:25:00",0.0175009,992
"2019-06-03 11:30:00",0.0184652,1520
"2019-06-03 11:35:00",1.67704,2440
"2019-06-03 11:40:00",1.33646,3393
"2019-06-03 11:45:00",1.41588,3662
"2019-06-03 11:50:00",0.75218,3409
"2019-06-03 11:55:00",0.482767,3107
"2019-06-03 12:00:00",1.67557,3259
"2019-06-03 12:05:00",1.2984,3028
"2019-06-03 12:10:00",0.596721,2923
"2019-06-03 12:15:00",0.842349,2207
"2019-06-03 12:20:00",0.322841,4633
"2019-06-03 12:25:00",0.0385685,5404
"2019-06-03 12:30:00",0.0743775,5206
"2019-06-03 12:35:00",0.0527207,4985
"2019-06-03 12:40:00",0.0634173,4980
"2019-06-03 12:45:00",0.0716214,4986
"2019-06-03 12:50:00",0.0523319,4986
"2019-06-03 12:55:00",0.0442562,4987
"2019-06-03 13:00:00",0.0354671,4988
"2019-06-03 13:05:00",0.0577673,4989
"2019-06-03 13:10:00",0.0313667,4991
"2019-06-03 13:15:00",0.0939603,4988
"2019-06-03 13:20:00",0.525012,4073
"2019-06-03 13:25:00",0.122483,4898
"2019-06-03 13:30:00",0.374008,5162
"2019-06-03 13:35:00",0.0177751,2767
"2019-06-03 13:40:00",0.0237997,1877
"2019-06-03 13:45:00",0.136403,3684
"2019-06-03 13:50:00",0.138717,4178
"2019-06-03 13:55:00",0.551233,3862
"2019-06-03 14:00:00",0.253268,4302
"2019-06-03 14:05:00",0.0224366,2998
"2019-06-03 14:10:00",0.115024,3043
"2019-06-03 14:15:00",0.0320449,2998
"2019-06-03 14:20:00",0.0238733,2999
"2019-06-03 14:25:00",0.127532,3288
"2019-06-03 14:30:00",0.0177798,2996
"2019-06-03 14:35:00",0.0232702,2998
"2019-06-03 14:40:00",0.0628292,3020
"2019-06-03 14:45:00",0.360268,3279
"2019-06-03 14:50:00",0.216523,7869
"2019-06-03 14:55:00",0.529401,8440
"2019-06-03 15:00:00",0.034056,781
"2019-06-03 15:05:00",0.0178195,411
"2019-06-03 15:10:00",0.0158475,172
"2019-06-03 15:15:00",0.0149829,258
"2019-06-03 15:20:00",0.0166148,315
"2019-06-03 15:25:00",0.0169538,383
"2019-06-03 15:30:00",0.0150561,575
"2019-06-03 15:35:00",0.0162981,745
"2019-06-03 15:40:00",0.684084,3403
"2019-06-03 15:45:00",0.5993,4643
"2019-06-03 15:50:00",0.0231139,3550
"2019-06-03 15:55:00",0.188596,4252
"2019-06-03 16:00:00",0.301571,7099
"2019-06-03 16:05:00",6.69117,3326
"2019-06-03 16:10:00",0.472782,2550
"2019-06-03 16:15:00",0.175899,3719
"2019-06-03 16:20:00",0.0392216,3271
"2019-06-03 16:25:00",0.0279092,2995
"2019-06-03 16:30:00",0.165069,3228
"2019-06-03 16:35:00",0.111548,3124
"2019-06-03 16:40:00",0.0348578,2998
"2019-06-03 16:45:00",0.0413448,2996
"2019-06-03 16:50:00",0.0471601,2997
